スキー,"ski, skiing"
敷く,"lay, spread"
安心,"peace of mind, relief"
糸,"thread, yarn"
なかなか,"not at all, hardly"
人形,doll
プール,pool
銀,silver
匂い,"smell, odor"
ホーム,platform
交通事故,traffic accident
幸せ,"happiness, good fortune"
吸う,"inhale, suck"
浅い,"shallow, superficial"
見学,"observation tour, study tour, field trip"
濃い,"thick, concentrated, dark-colored"
壊す,"break, destroy, smash"
間に合う,"be in time, answer the purpose, can do without"
届ける,"deliver, give notice"
葉,"leaf, needle"
エレベーター,elevator
メモ,"memorandum, memo pad"
立派,"fine, excellent"
旅館,Japanese inn
凄い,"wonderful, great, incredible"
パン,bread
びっくりする,surprised
便利,"convenience, handiness"
砂糖,sugar
休み,"rest, holiday, absence"
録音,sound recording
言い方,"way of speaking, expression"
帰り,"return, going home"
週末,weekend
ズボン,"trousers, pants"
足りる,"suffice, serve, be satisfied"
拾う,"pick up, find"
祭り,festival
博物館,museum
青,"blue, green, green light"
売り場,"sales floor, department"
おもちゃ,"toy, plaything"
金持ち,wealthy person
頑張る,"persist, be tenacious"
グラム,gram
コーヒー,coffee
桜,"cherry tree, cherry blossom"
刺す,"stab, prick, sting"
テント,tent
ボート,boat
遭う,"meet with, encounter"
ボール,ball
オートバイ,"motorbike, motorcycle"
外人,"foreigner, alien"
猫,"cat, feline"
隠れる,"hide, disappear"
親切,"kind, friendly"
是非,"by all means, at any cost"
通学,"attending school, going to school"
預ける,"deposit, entrust"
付ける,"attach, set, apply"
習う,"learn, practice"
組み立てる,"build, set up, construct"
塗る,"spread on, paint"
左手,left hand
ひどい,"cruel, severe"
別々,separately
毎週,every week
気温,temperature
蹴る,kick
真っ赤,deep red
外国語,foreign language
着物,"clothes, kimono"
牛乳,milk
住所,"one's dwelling, address"
先週,last week
飛行場,"airport, airfield"
救急車,ambulance
下りる,"go down, come down"
果物,fruit
間違い,"mistake, error"
あなた,you
映画館,movie theater
踊る,dance
怖い,"fearful, be afraid"
鏡,mirror
草,"grass, weed"
敬語,"honorific language, polite speech"
欠席,"absence, nonattendance"
スイッチ,switch
掃除,cleaning
畳,"tatami, mat"
速さ,speed
